,제작사,차명,모델년도,리콜개시일,계절,월별
2567,메르세데스벤츠코리아(주),GLC 300,2017,2022-04-08,Spring,April
2568,메르세데스벤츠코리아(주),GLC 250 4MATIC,2019,2022-04-08,Spring,April
2569,메르세데스벤츠코리아(주),GLC 250 d 4MATIC,2018,2022-04-08,Spring,April
2570,메르세데스벤츠코리아(주),GLC 300 4MATIC,2017,2022-04-08,Spring,April
2571,메르세데스벤츠코리아(주),GLA 250 4MATIC,2021,2022-04-08,Spring,April
2572,메르세데스벤츠코리아(주),E 400,2018,2022-04-08,Spring,April
2573,메르세데스벤츠코리아(주),E 400 4MATIC,2017,2022-04-08,Spring,April
2574,메르세데스벤츠코리아(주),S 560 4MATIC,2018,2022-04-08,Spring,April
2575,메르세데스벤츠코리아(주),S 550 4MATIC,2017,2022-04-08,Spring,April
2576,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2577,메르세데스벤츠코리아(주),S 560,2018,2022-04-08,Spring,April
2578,메르세데스벤츠코리아(주),S 450 L,2017,2022-04-08,Spring,April
2579,메르세데스벤츠코리아(주),S 450 4MATIC,2017,2022-04-08,Spring,April
2580,메르세데스벤츠코리아(주),E 300 4MATIC,2017,2022-04-08,Spring,April
2581,메르세데스벤츠코리아(주),E 300,2017,2022-04-08,Spring,April
2582,메르세데스벤츠코리아(주),AMG C 43 4MATIC,2017,2022-04-08,Spring,April
2583,메르세데스벤츠코리아(주),AMG C 63 S,2016,2022-04-08,Spring,April
2584,메르세데스벤츠코리아(주),C 300 4MATIC,2016,2022-04-08,Spring,April
2585,메르세데스벤츠코리아(주),C 300,2017,2022-04-08,Spring,April
2586,메르세데스벤츠코리아(주),C 350 E,2017,2022-04-08,Spring,April
2587,메르세데스벤츠코리아(주),AMG A 35 4MATIC,2021,2022-04-08,Spring,April
2588,메르세데스벤츠코리아(주),A 220,2021,2022-04-08,Spring,April
2589,메르세데스벤츠코리아(주),A 220,2021,2022-04-08,Spring,April
2590,메르세데스벤츠코리아(주),GLE 350 4MATIC,2019,2022-04-08,Spring,April
2591,메르세데스벤츠코리아(주),GLS 550 4MATIC,2017,2022-04-08,Spring,April
2592,메르세데스벤츠코리아(주),S 550,2017,2022-04-08,Spring,April
2593,현대자동차(주),에쿠스(EQUUS),2015.0,2022-04-08,Spring,April
2594,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2595,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2596,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2597,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2598,기아주식회사,스포티지 하이브리드,2022.0,2022-04-08,Spring,April
2599,기아주식회사,스포티지 하이브리드,2022.0,2022-04-08,Spring,April
2600,기아주식회사,K7,2013.0,2022-04-08,Spring,April
2601,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2602,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2603,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2604,폭스바겐그룹코리아 주식회사,Passat 2.0 TSI,2018.0,2022-04-08,Spring,April
2605,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2606,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2607,폭스바겐그룹코리아 주식회사,Passat 2.0 TSI,2018.0,2022-04-08,Spring,April
2608,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-08,Spring,April
2609,기아주식회사,스포티지 하이브리드,2022.0,2022-04-08,Spring,April
2610,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2611,기아주식회사,K7,2015.0,2022-04-08,Spring,April
2612,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2613,현대자동차(주),투싼(TUCSON),2016.0,2022-04-08,Spring,April
2614,기아주식회사,스포티지,2020.0,2022-04-08,Spring,April
2615,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-08,Spring,April
2616,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2617,(주)재규어랜드로버코리아,재규어 F-PACE 20d,2018.0,2022-04-08,Spring,April
2618,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2619,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2620,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2621,기아주식회사,스포티지 하이브리드,2022.0,2022-04-08,Spring,April
2622,현대자동차(주),그랜저(GRANDEUR),2010.0,2022-04-08,Spring,April
2623,기아주식회사,스포티지 하이브리드,2022.0,2022-04-08,Spring,April
2624,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2625,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2626,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-08,Spring,April
2627,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-08,Spring,April
2628,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2629,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2630,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2631,폭스바겐그룹코리아 주식회사,Passat 2.0 TSI,2018.0,2022-04-08,Spring,April
2632,(주)재규어랜드로버코리아,재규어 XE 2.0D,2016.0,2022-04-08,Spring,April
2633,기아주식회사,스포티지 하이브리드,2022.0,2022-04-08,Spring,April
2634,기아주식회사,스포티지,2022.0,2022-04-08,Spring,April
2635,기아주식회사,K8,2022.0,2022-04-08,Spring,April
2636,기아주식회사,K8 하이브리드,2022.0,2022-04-08,Spring,April
2637,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-08,Spring,April
2638,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-08,Spring,April
2639,기아주식회사,K8 하이브리드,2022.0,2022-04-11,Spring,April
2640,기아주식회사,K7,2020.0,2022-04-11,Spring,April
2641,기아주식회사,K8 하이브리드,2022.0,2022-04-11,Spring,April
2642,기아주식회사,카니발 리무진,2022.0,2022-04-11,Spring,April
2643,한국지엠(주),크루즈 1.8 DOHC,2014.0,2022-04-11,Spring,April
2644,기아주식회사,스포티지 하이브리드,2022.0,2022-04-11,Spring,April
2645,혼다코리아(주),ACCORD HYBRID,2019.0,2022-04-11,Spring,April
2646,기아주식회사,K8 하이브리드,2022.0,2022-04-11,Spring,April
2647,혼다코리아(주),ACCORD HYBRID,2018.0,2022-04-11,Spring,April
2648,기아주식회사,스포티지 하이브리드,2022.0,2022-04-11,Spring,April
2649,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-11,Spring,April
2650,기아주식회사,K8 하이브리드,2022.0,2022-04-11,Spring,April
2651,기아주식회사,스포티지 하이브리드,2022.0,2022-04-11,Spring,April
2652,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-11,Spring,April
2653,폭스바겐그룹코리아 주식회사,A6 40 TDI,2020.0,2022-04-11,Spring,April
2654,기아주식회사,K7,2016.0,2022-04-11,Spring,April
2655,기아주식회사,카니발 리무진,2019.0,2022-04-11,Spring,April
2656,기아주식회사,K7,2017.0,2022-04-11,Spring,April
2657,혼다코리아(주),ACCORD HYBRID,2019.0,2022-04-11,Spring,April
2658,(주)재규어랜드로버코리아,재규어 XF 20d,2017.0,2022-04-11,Spring,April
2659,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-11,Spring,April
2660,혼다코리아(주),ACCORD HYBRID,2020.0,2022-04-11,Spring,April
2661,기아주식회사,K7,2014.0,2022-04-11,Spring,April
2662,기아주식회사,K8 하이브리드,2022.0,2022-04-11,Spring,April
2663,한불모터스(주),Peugeot 3008 1.6 BlueHDi,2018.0,2022-04-11,Spring,April
2664,기아주식회사,스포티지 하이브리드,2022.0,2022-04-11,Spring,April
2665,폭스바겐그룹코리아 주식회사,Golf A7 1.4 TSI BMT,2016,2022-04-11,Spring,April
2666,폭스바겐그룹코리아 주식회사,Golf 8 2.0 GTI,2022,2022-04-11,Spring,April
2667,현대자동차(주),GV80(JX1),2022,2022-04-11,Spring,April
2668,혼다코리아(주),ACCORD 2.0T,2018.0,2022-04-11,Spring,April
2669,기아주식회사,K8 하이브리드,2022.0,2022-04-11,Spring,April
2670,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-11,Spring,April
2671,기아주식회사,스포티지 하이브리드,2022.0,2022-04-11,Spring,April
2672,(주)대창모터스,다니고밴,2021.0,2022-04-11,Spring,April
2673,비엠더블유코리아(주),BMW 520d xDrive,2018.0,2022-04-11,Spring,April
2674,기아주식회사,K8 하이브리드,2022.0,2022-04-11,Spring,April
2675,혼다코리아(주),NSS350A,2021.0,2022-04-11,Spring,April
2676,현대자동차(주),투싼 하이브리드(TUCSON HYBRID),2021.0,2022-04-11,Spring,April
2677,기아주식회사,K8 하이브리드,2022.0,2022-04-11,Spring,April
2678,기아주식회사,K8 하이브리드,2022.0,2022-04-11,Spring,April
2679,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-11,Spring,April
2680,기아주식회사,K8 하이브리드,2022.0,2022-04-11,Spring,April
2681,기아주식회사,스포티지 하이브리드,2022.0,2022-04-12,Spring,April
2682,기아주식회사,스포티지 하이브리드,2022.0,2022-04-12,Spring,April
2683,기아주식회사,스포티지 하이브리드,2022.0,2022-04-12,Spring,April
2684,현대자동차(주),투싼 하이브리드(TUCSON HYBRID),2021.0,2022-04-12,Spring,April
2685,기아주식회사,K7,2017.0,2022-04-12,Spring,April
2686,기아주식회사,스포티지 하이브리드,2022.0,2022-04-12,Spring,April
2687,기아주식회사,셀토스,2020.0,2022-04-12,Spring,April
2688,현대자동차(주),쏘나타 하이브리드(SONATA HYBRID),2015.0,2022-04-12,Spring,April
2689,기아주식회사,K8 하이브리드,2022.0,2022-04-12,Spring,April
2690,폭스바겐그룹코리아 주식회사,Tiguan 2.0 TDI,2020.0,2022-04-12,Spring,April
2691,기아주식회사,니로 EV,2019.0,2022-04-12,Spring,April
2692,기아주식회사,스포티지 하이브리드,2022.0,2022-04-12,Spring,April
2693,기아주식회사,스포티지 하이브리드,2022.0,2022-04-12,Spring,April
2694,기아주식회사,스포티지,2022.0,2022-04-12,Spring,April
2695,기아주식회사,스포티지,2022.0,2022-04-12,Spring,April
2696,르노코리아자동차 주식회사,QM3,2015.0,2022-04-12,Spring,April
2697,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-12,Spring,April
2698,기아주식회사,스포티지 하이브리드,2022.0,2022-04-12,Spring,April
2699,기아주식회사,K8 하이브리드,2022.0,2022-04-12,Spring,April
2700,기아주식회사,스포티지 하이브리드,2022.0,2022-04-12,Spring,April
2701,기아주식회사,스포티지 하이브리드,2022.0,2022-04-12,Spring,April
2702,현대자동차(주),투싼(TUCSON),2016.0,2022-04-12,Spring,April
2703,기아주식회사,스포티지 하이브리드,2022.0,2022-04-12,Spring,April
2704,기아주식회사,스포티지 하이브리드,2022.0,2022-04-12,Spring,April
2705,메르세데스벤츠코리아(주),GLC350 e 4Matic,2019.0,2022-04-12,Spring,April
2706,기아주식회사,스포티지 하이브리드,2022.0,2022-04-12,Spring,April
2707,기아주식회사,스포티지,2016.0,2022-04-12,Spring,April
2708,기아주식회사,스포티지 하이브리드,2022.0,2022-04-12,Spring,April
2709,기아주식회사,K8 하이브리드,2022.0,2022-04-12,Spring,April
2710,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-12,Spring,April
2711,기아주식회사,K8 하이브리드,2022.0,2022-04-12,Spring,April
2712,한불모터스(주),Peugeot 3008 1.6 Blue-HDi,2016.0,2022-04-12,Spring,April
2713,현대자동차(주),싼타페 하이브리드(SANTAFE HYBRID),2022.0,2022-04-12,Spring,April
2714,현대자동차(주),아이오닉5 (IONIQ5),2022.0,2022-04-12,Spring,April
2715,혼다코리아(주),NSS350A,2021.0,2022-04-12,Spring,April
2716,기아주식회사,K8 하이브리드,2022.0,2022-04-12,Spring,April
2717,기아주식회사,카니발,2022.0,2022-04-12,Spring,April
2718,현대자동차(주),아이오닉5(IONIQ5),2022.0,2022-04-12,Spring,April
2719,한불모터스(주),Citroen C4 Cactus 1.6 BlueHDi,2017.0,2022-04-12,Spring,April
2720,혼다코리아(주),ACCORD 1.5T,2018.0,2022-04-12,Spring,April
2721,기아주식회사,K8 하이브리드,2022.0,2022-04-12,Spring,April
2722,기아주식회사,K5,2021.0,2022-04-12,Spring,April
2723,르노코리아자동차 주식회사,MASTER,2020.0,2022-04-12,Spring,April
2724,기아주식회사,K7,2013.0,2022-04-12,Spring,April
2725,기아주식회사,K8 하이브리드,2022.0,2022-04-12,Spring,April
2726,(주)재규어랜드로버코리아,재규어 XE 2.0D,2016.0,2022-04-12,Spring,April
2727,기아주식회사,K8 하이브리드,2022.0,2022-04-12,Spring,April
2728,기아주식회사,K8 하이브리드,2022.0,2022-04-12,Spring,April
2729,현대자동차(주),아반떼 (AVANTE),2014.0,2022-04-12,Spring,April
2730,기아주식회사,K8 하이브리드,2022.0,2022-04-12,Spring,April
2731,기아주식회사,스포티지 하이브리드,2022.0,2022-04-12,Spring,April
2732,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2018.0,2022-04-12,Spring,April
2733,현대자동차(주),투싼(TUCSON),2016.0,2022-04-12,Spring,April
2734,(주)재규어랜드로버코리아,재규어 XF 20d,2017.0,2022-04-12,Spring,April
2735,기아주식회사,스포티지 하이브리드,2022.0,2022-04-13,Spring,April
2736,혼다코리아(주),ACCORD HYBRID,2018.0,2022-04-13,Spring,April
2737,현대자동차(주),투싼 하이브리드(TUCSON HYBRID),2021.0,2022-04-13,Spring,April
2738,기아주식회사,스포티지 하이브리드,2022.0,2022-04-13,Spring,April
2739,(주)카인드아크코리아,카인드마스터캠핑카,2020.0,2022-04-13,Spring,April
2740,기아주식회사,스포티지 하이브리드,2022.0,2022-04-13,Spring,April
2741,혼다코리아(주),ODYSSEY,2021.0,2022-04-13,Spring,April
2742,기아주식회사,K8 하이브리드,2022.0,2022-04-13,Spring,April
2743,기아주식회사,K8 하이브리드,2022.0,2022-04-13,Spring,April
2744,비엠더블유코리아(주),BMW 120d,2011.0,2022-04-13,Spring,April
2745,기아주식회사,K8 하이브리드,2022.0,2022-04-13,Spring,April
2746,기아주식회사,스포티지 하이브리드,2022.0,2022-04-13,Spring,April
2747,기아주식회사,스포티지 하이브리드,2022.0,2022-04-13,Spring,April
2748,비엠더블유코리아(주),BMW X1 xDrive20d,2018.0,2022-04-13,Spring,April
2749,기아주식회사,K8 하이브리드,2022.0,2022-04-13,Spring,April
2750,기아주식회사,스포티지 하이브리드,2022.0,2022-04-13,Spring,April
2751,혼다코리아(주),ACCORD HYBRID,2018.0,2022-04-13,Spring,April
2752,현대자동차(주),싼타페(SANTAFE),2019.0,2022-04-13,Spring,April
2753,기아주식회사,스포티지 하이브리드,2022.0,2022-04-13,Spring,April
2754,기아주식회사,스포티지 하이브리드,2022.0,2022-04-13,Spring,April
2755,한국상용트럭(주),한국상용9톤트럭,2020.0,2022-04-13,Spring,April
2756,혼다코리아(주),ACCORD 1.5T,2018.0,2022-04-13,Spring,April
2757,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-13,Spring,April
2758,기아주식회사,스포티지 하이브리드,2022.0,2022-04-13,Spring,April
2759,기아주식회사,K8 하이브리드,2022.0,2022-04-13,Spring,April
2760,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-13,Spring,April
2761,비엠더블유코리아(주),X5 xDrive40d,2016,2022-04-13,Spring,April
2762,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-13,Spring,April
2763,비엠더블유코리아(주),X6 xDrive30d,2016,2022-04-13,Spring,April
2764,비엠더블유코리아(주),X5 xDrive30d,2016,2022-04-13,Spring,April
2765,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022.0,2022-04-13,Spring,April
2766,비엠더블유코리아(주),520d,2014,2022-04-13,Spring,April
2767,비엠더블유코리아(주),520d Touring,2014,2022-04-13,Spring,April
2768,비엠더블유코리아(주),525d,2015,2022-04-13,Spring,April
2769,비엠더블유코리아(주),535d,2013,2022-04-13,Spring,April
2770,비엠더블유코리아(주),X6 xDrive40d,2016,2022-04-13,Spring,April
2771,비엠더블유코리아(주),730d,2013,2022-04-13,Spring,April
2772,비엠더블유코리아(주),X4 xDrive30d,2016,2022-04-13,Spring,April
2773,비엠더블유코리아(주),730Ld,2015,2022-04-13,Spring,April
2774,비엠더블유코리아(주),Gran Turismo 30d,2014,2022-04-13,Spring,April
2775,비엠더블유코리아(주),GT 30d xDrive,2013,2022-04-13,Spring,April
2776,비엠더블유코리아(주),X3 xDrive,2015,2022-04-13,Spring,April
2777,비엠더블유코리아(주),X3 xDrive30d,2017,2022-04-13,Spring,April
2778,폭스바겐그룹코리아 주식회사,A6 40 TDI,2020.0,2022-04-13,Spring,April
2779,비엠더블유코리아(주),X5 xDrive,2013,2022-04-13,Spring,April
2780,기아주식회사,K8 하이브리드,2022.0,2022-04-13,Spring,April
2781,비엠더블유코리아(주),X5 xDrive,2015,2022-04-13,Spring,April
2782,기아주식회사,스포티지 하이브리드,2022.0,2022-04-13,Spring,April
2783,현대자동차(주),G80,2021.0,2022-04-13,Spring,April
2784,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-13,Spring,April
2785,기아주식회사,쏘렌토,2021.0,2022-04-13,Spring,April
2786,기아주식회사,K8 하이브리드,2022.0,2022-04-13,Spring,April
2787,기아주식회사,스포티지,2022.0,2022-04-13,Spring,April
2788,기아주식회사,스포티지 하이브리드,2022.0,2022-04-13,Spring,April
2789,기아주식회사,스포티지 하이브리드,2022.0,2022-04-13,Spring,April
2790,기아주식회사,스포티지 하이브리드,2022.0,2022-04-13,Spring,April
2791,기아주식회사,스포티지 하이브리드,2022.0,2022-04-13,Spring,April
2792,기아주식회사,스포티지 하이브리드,2022.0,2022-04-13,Spring,April
2793,기아주식회사,스포티지 하이브리드,2022.0,2022-04-13,Spring,April
2794,현대자동차(주),그랜저(GRANDEUR) 하이브리드,2014.0,2022-04-13,Spring,April
2795,기아주식회사,스포티지 하이브리드,2022.0,2022-04-13,Spring,April
2796,기아주식회사,카니발,2019.0,2022-04-13,Spring,April
2797,기아주식회사,K8 하이브리드,2022.0,2022-04-13,Spring,April
2798,기아주식회사,K8 하이브리드,2022.0,2022-04-13,Spring,April
2799,기아주식회사,스포티지 하이브리드,2022.0,2022-04-13,Spring,April
2800,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-14,Spring,April
2801,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-14,Spring,April
2802,기아주식회사,스포티지 하이브리드,2022.0,2022-04-14,Spring,April
2803,현대자동차(주),투싼(TUCSON),2021.0,2022-04-14,Spring,April
2804,기아주식회사,K3,2018.0,2022-04-14,Spring,April
2805,쌍용자동차(주),G4 렉스턴,2019.0,2022-04-14,Spring,April
2806,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-14,Spring,April
2807,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-14,Spring,April
2808,기아주식회사,K8 하이브리드,2022.0,2022-04-14,Spring,April
2809,타타대우상용차(주),프리마,2022.0,2022-04-14,Spring,April
2810,한불모터스(주),Peugeot 2008 1.5 BlueHDi,2019.0,2022-04-14,Spring,April
2811,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-14,Spring,April
2812,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-14,Spring,April
2813,한불모터스(주),Peugeot 308 1.6 Blue-HDi,2015.0,2022-04-14,Spring,April
2814,기아주식회사,스포티지 하이브리드,2022.0,2022-04-14,Spring,April
2815,기아주식회사,K7,2012.0,2022-04-14,Spring,April
2816,기아주식회사,스포티지 하이브리드,2022.0,2022-04-14,Spring,April
2817,기아주식회사,스포티지 하이브리드,2022.0,2022-04-14,Spring,April
2818,혼다코리아(주),ACCORD HYBRID,2018.0,2022-04-14,Spring,April
2819,기아주식회사,스포티지 하이브리드,2022.0,2022-04-14,Spring,April
2820,한불모터스(주),Peugeot 308 1.6 BlueHDi,2018.0,2022-04-14,Spring,April
2821,혼다코리아(주),ACCORD HYBRID,2018.0,2022-04-14,Spring,April
2822,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-14,Spring,April
2823,기아주식회사,스포티지 하이브리드,2022.0,2022-04-14,Spring,April
2824,기아주식회사,스포티지 하이브리드,2022.0,2022-04-14,Spring,April
2825,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-14,Spring,April
2826,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-14,Spring,April
2827,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-14,Spring,April
2828,기아주식회사,스포티지 하이브리드,2022.0,2022-04-14,Spring,April
2829,(주)재규어랜드로버코리아,재규어 XE 20d,2017.0,2022-04-14,Spring,April
2830,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2019.0,2022-04-14,Spring,April
2831,기아주식회사,K8 하이브리드,2022.0,2022-04-14,Spring,April
2832,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-15,Spring,April
2833,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-15,Spring,April
2834,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-15,Spring,April
2835,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-15,Spring,April
2836,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-15,Spring,April
2837,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-15,Spring,April
2838,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-15,Spring,April
2839,스텔란티스코리아주식회사,짚그랜드체로키,2015.0,2022-04-15,Spring,April
2840,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-15,Spring,April
2841,기아주식회사,스포티지 하이브리드,2022.0,2022-04-15,Spring,April
2842,기아주식회사,K8 하이브리드,2022.0,2022-04-15,Spring,April
2843,혼다코리아(주),ACCORD 1.5T,2019.0,2022-04-15,Spring,April
2844,현대자동차(주),투싼 하이브리드(TUCSON HYBRID),2021.0,2022-04-15,Spring,April
2845,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-15,Spring,April
2846,기아주식회사,니로 하이브리드,2022.0,2022-04-15,Spring,April
2847,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-15,Spring,April
2848,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-15,Spring,April
2849,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-15,Spring,April
2850,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-15,Spring,April
2851,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-15,Spring,April
2852,기아주식회사,K8 하이브리드,2022.0,2022-04-15,Spring,April
2853,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-15,Spring,April
2854,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-15,Spring,April
2855,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-15,Spring,April
2856,현대자동차(주),싼타페 하이브리드(SANTAFE HYBRID),2022.0,2022-04-15,Spring,April
2857,메르세데스벤츠코리아(주),G 350 BlueTEC,2014,2022-04-15,Spring,April
2858,현대자동차(주),싼타페 하이브리드(SANTAFE HYBRID),2022.0,2022-04-15,Spring,April
2859,비엠더블유코리아(주),BMW 320d,2021,2022-04-15,Spring,April
2860,비엠더블유코리아(주),BMW 320d Touring,2021,2022-04-15,Spring,April
2861,비엠더블유코리아(주),BMW 320d xDrive,2021,2022-04-15,Spring,April
2862,비엠더블유코리아(주),BMW 520d,2018,2022-04-15,Spring,April
2863,비엠더블유코리아(주),BMW 520d Luxury,2020,2022-04-15,Spring,April
2864,비엠더블유코리아(주),BMW 520d xDrive,2018,2022-04-15,Spring,April
2865,비엠더블유코리아(주),BMW 520d xDrive Luxury,2020,2022-04-15,Spring,April
2866,비엠더블유코리아(주),BMW 530d,2018,2022-04-15,Spring,April
2867,비엠더블유코리아(주),BMW 620d Luxury,2020,2022-04-15,Spring,April
2868,비엠더블유코리아(주),BMW 620d xDrive Luxury,2020,2022-04-15,Spring,April
2869,비엠더블유코리아(주),BMW 630d xDrive,2019,2022-04-15,Spring,April
2870,비엠더블유코리아(주),BMW 730d xDrive,2018,2022-04-15,Spring,April
2871,비엠더블유코리아(주),BMW 730d xDrive,2020,2022-04-15,Spring,April
2872,비엠더블유코리아(주),BMW 730Ld xDrive,2018,2022-04-15,Spring,April
2873,현대자동차(주),넥쏘(FE),2021,2022-04-15,Spring,April
2874,비엠더블유코리아(주),BMW 730Ld xDrive,2020,2022-04-15,Spring,April
2875,비엠더블유코리아(주),BMW 740d xDrive,2019,2022-04-15,Spring,April
2876,비엠더블유코리아(주),BMW 740Ld xDrive,2016,2022-04-15,Spring,April
2877,비엠더블유코리아(주),BMW 740Ld xDrive,2020,2022-04-15,Spring,April
2878,비엠더블유코리아(주),BMW 840d xDrive Gran Coupe Excellence,2019,2022-04-15,Spring,April
2879,비엠더블유코리아(주),BMW X3 xDrive20d M Sport Package,2019,2022-04-15,Spring,April
2880,비엠더블유코리아(주),BMW X3 xDrive20d M Sport Package,2021,2022-04-15,Spring,April
2881,비엠더블유코리아(주),BMW X4 M40d,2020,2022-04-15,Spring,April
2882,비엠더블유코리아(주),BMW X4 xDrive20d M Sport Package,2020,2022-04-15,Spring,April
2883,비엠더블유코리아(주),BMW X4 xDrive20d xLine,2019,2022-04-15,Spring,April
2884,비엠더블유코리아(주),BMW X5 xDrive30d xLine,2020,2022-04-15,Spring,April
2885,비엠더블유코리아(주),BMW X6 xDrive30d,2020,2022-04-15,Spring,April
2886,비엠더블유코리아(주),BMW X7 xDrive30d Design Pure Excellence,2020,2022-04-15,Spring,April
2887,현대자동차(주),넥쏘(FE),2022,2022-04-15,Spring,April
2888,현대자동차(주),넥쏘(FE),2018,2022-04-15,Spring,April
2889,비엠더블유코리아(주),BMW 740d xDrive,2019,2022-04-15,Spring,April
2890,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-15,Spring,April
2891,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-15,Spring,April
2892,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-15,Spring,April
2893,기아주식회사,니로 하이브리드,2019.0,2022-04-15,Spring,April
2894,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-15,Spring,April
2895,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-15,Spring,April
2896,기아주식회사,K7,2016.0,2022-04-15,Spring,April
2897,기아주식회사,K8 하이브리드,2022.0,2022-04-15,Spring,April
2898,기아주식회사,K8 하이브리드,2022.0,2022-04-15,Spring,April
2899,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-15,Spring,April
2900,폭스바겐그룹코리아 주식회사,A6 40 TDI,2020.0,2022-04-15,Spring,April
2901,폭스바겐그룹코리아 주식회사,A6 40 TDI,2020.0,2022-04-15,Spring,April
2902,폭스바겐그룹코리아 주식회사,Polo 5 FL 1.4 TDI BMT,2016.0,2022-04-15,Spring,April
2903,폭스바겐그룹코리아 주식회사,A6 40 TDI,2020.0,2022-04-15,Spring,April
2904,기아주식회사,쏘렌토 하이브리드,2022.0,2022-04-15,Spring,April
2905,폭스바겐그룹코리아 주식회사,A6 40 TDI,2020.0,2022-04-15,Spring,April
2906,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-15,Spring,April
2907,폭스바겐그룹코리아 주식회사,Polo 5 FL 1.4 TDI BMT,2016.0,2022-04-15,Spring,April
2908,현대자동차(주),아반떼 하이브리드(AVANTE HYBRID),2011.0,2022-04-15,Spring,April
2909,기아주식회사,쏘렌토 하이브리드,2021.0,2022-04-15,Spring,April
2910,기아주식회사,스포티지 하이브리드,2022.0,2022-04-15,Spring,April
